,loc,v(g),ev(g),iv(g),v,l,d,i,e,b,t,lOCode,lOComment,lOBlank,uniq_Op,uniq_Opnd,total_Op,total_Opnd,branchCount,defects,complex_by_line,code_by_cmtblank,lines,Opratio,Opndratio
7284,7.0,1.0,1.0,1.0,50.72,0.57,1.75,28.98,88.76,0.02,4.93,5.0,0.0,0.0,3.0,6.0,9.0,7.0,1.0,0,0.42857142857142855,0.0,6.0,0.3333333333333333,0.8571428571428571
5422,193.0,25.0,25.0,19.0,3810.75,0.01,66.7,57.13,254177.14,1.27,14120.95,128.0,2.0,56.0,23.0,45.0,365.0,261.0,49.0,0,0.35751295336787564,2.206896551724138,160.5,0.06301369863013699,0.1724137931034483
569,87.0,13.0,9.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,1,0.27586206896551724,0.0,43.5,0.0,0.0
2261,128.0,38.0,28.0,20.0,2200.03,0.03,37.42,58.79,82331.93,0.73,4574.0,88.0,25.0,12.0,28.0,52.0,209.0,139.0,75.0,0,0.671875,2.3783783783783785,108.0,0.1339712918660287,0.37410071942446044
761,272.0,28.0,17.0,22.0,6861.3,0.02,59.36,115.58,407298.3,2.29,22627.68,203.0,34.0,29.0,31.0,94.0,625.0,360.0,55.0,1,0.24632352941176472,3.2222222222222223,237.5,0.0496,0.2611111111111111
4004,16.0,4.0,3.0,2.0,165.06,0.09,10.83,15.24,1788.14,0.06,99.34,11.0,0.0,3.0,15.0,9.0,23.0,13.0,7.0,0,0.5625,3.6666666666666665,13.5,0.6521739130434783,0.6923076923076923
7093,8.0,1.0,1.0,1.0,118.54,0.16,6.19,19.16,733.44,0.04,40.75,5.0,0.0,1.0,9.0,8.0,18.0,11.0,1.0,0,0.375,5.0,6.5,0.5,0.7272727272727273
9352,10.0,2.0,1.0,2.0,79.95,0.16,6.3,12.69,503.71,0.03,27.98,8.0,0.0,0.0,9.0,5.0,14.0,7.0,3.0,0,0.5,0.0,9.0,0.6428571428571429,0.7142857142857143
2380,25.0,2.0,1.0,2.0,320.63,0.08,11.78,27.22,3777.38,0.11,209.85,20.0,1.0,4.0,13.0,16.0,37.0,29.0,3.0,0,0.2,4.0,22.5,0.35135135135135137,0.5517241379310345
1896,21.0,3.0,1.0,2.0,190.4,0.24,4.24,44.96,806.39,0.06,44.8,14.0,0.0,5.0,8.0,17.0,23.0,18.0,5.0,1,0.2857142857142857,2.8,17.5,0.34782608695652173,0.9444444444444444
3351,40.0,9.0,1.0,8.0,559.82,0.08,12.14,46.1,6797.87,0.19,377.66,28.0,0.0,2.0,10.0,21.0,62.0,51.0,17.0,0,0.45,14.0,34.0,0.16129032258064516,0.4117647058823529
10806,4.0,2.0,1.0,1.0,55.51,0.33,3.0,18.5,166.52,0.02,9.25,2.0,0.0,0.0,6.0,7.0,8.0,7.0,3.0,0,1.0,0.0,3.0,0.75,1.0
3141,12.0,3.0,1.0,2.0,166.91,0.1,9.9,16.86,1652.39,0.06,91.8,9.0,0.0,1.0,11.0,10.0,20.0,18.0,5.0,0,0.5,9.0,10.5,0.55,0.5555555555555556
19,85.0,9.0,1.0,7.0,1714.58,0.03,32.64,52.53,55961.02,0.57,3108.95,69.0,0.0,14.0,26.0,47.0,161.0,118.0,13.0,1,0.2,4.928571428571429,77.0,0.16149068322981366,0.3983050847457627
10882,42.0,4.0,1.0,2.0,519.57,0.04,26.4,19.68,13716.72,0.17,762.04,29.0,1.0,10.0,18.0,15.0,59.0,44.0,7.0,0,0.16666666666666666,2.6363636363636362,35.5,0.3050847457627119,0.3409090909090909
1582,47.0,10.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,1,0.425531914893617,0.0,23.5,0.0,0.0
5114,24.0,4.0,1.0,2.0,225.62,0.13,7.71,29.25,1740.51,0.08,96.69,19.0,0.0,2.0,12.0,14.0,30.0,18.0,5.0,0,0.2916666666666667,9.5,21.5,0.4,0.7777777777777778
5021,88.0,20.0,15.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,0,0.5,0.0,44.0,0.0,0.0
3316,106.0,8.0,4.0,5.0,1893.56,0.03,28.75,65.86,54439.88,0.63,3024.44,72.0,8.0,24.0,23.0,52.0,174.0,130.0,15.0,0,0.16037735849056603,2.25,89.0,0.13218390804597702,0.4
7837,48.0,5.0,3.0,3.0,1227.01,0.05,19.2,63.9,23561.24,0.41,1308.96,42.0,3.0,3.0,19.0,47.0,108.0,95.0,9.0,0,0.22916666666666666,7.0,45.0,0.17592592592592593,0.49473684210526314
9159,15.0,4.0,1.0,3.0,148.0,0.16,6.22,23.79,920.89,0.05,51.16,11.0,1.0,1.0,7.0,9.0,21.0,16.0,7.0,0,0.5333333333333333,5.5,13.0,0.3333333333333333,0.5625
9749,20.0,3.0,1.0,2.0,459.04,0.08,11.79,38.94,5411.84,0.15,300.66,15.0,0.0,3.0,14.0,19.0,59.0,32.0,5.0,0,0.3,5.0,17.5,0.23728813559322035,0.59375
2579,34.0,4.0,1.0,3.0,267.57,0.07,13.5,19.82,3612.14,0.09,200.67,24.0,3.0,4.0,11.0,11.0,33.0,27.0,7.0,0,0.23529411764705882,3.4285714285714284,29.0,0.3333333333333333,0.4074074074074074
2169,17.0,5.0,4.0,5.0,208.97,0.12,8.67,24.11,1811.1,0.07,100.62,9.0,0.0,3.0,13.0,12.0,29.0,16.0,9.0,0,0.8235294117647058,3.0,13.0,0.4482758620689655,0.75
7884,22.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0,0.22727272727272727,0.0,11.0,0.0,0.0
1477,44.0,5.0,3.0,3.0,770.53,0.04,26.25,29.35,20226.4,0.26,1123.69,31.0,0.0,11.0,21.0,22.0,87.0,55.0,9.0,1,0.25,2.8181818181818183,37.5,0.2413793103448276,0.4
8536,17.0,1.0,1.0,1.0,258.64,0.09,11.4,22.69,2948.58,0.09,163.81,11.0,0.0,3.0,12.0,10.0,39.0,19.0,1.0,0,0.17647058823529413,3.6666666666666665,14.0,0.3076923076923077,0.5263157894736842
6728,19.0,4.0,1.0,3.0,248.8,0.08,12.38,20.1,3078.85,0.08,171.05,14.0,0.0,3.0,11.0,12.0,28.0,27.0,7.0,0,0.42105263157894735,4.666666666666667,16.5,0.39285714285714285,0.4444444444444444
9398,30.0,5.0,1.0,5.0,591.97,0.05,18.86,31.39,11162.77,0.2,620.15,19.0,2.0,4.0,18.0,21.0,68.0,44.0,9.0,0,0.36666666666666664,3.1666666666666665,24.5,0.2647058823529412,0.4772727272727273
1903,587.0,48.0,17.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.0,1,0.15332197614991483,0.0,293.5,0.0,0.0
4936,31.0,7.0,5.0,5.0,479.22,0.04,24.6,19.48,11788.75,0.16,654.93,22.0,1.0,4.0,18.0,15.0,54.0,41.0,13.0,0,0.5483870967741935,4.4,26.5,0.3333333333333333,0.36585365853658536
10357,8.0,3.0,3.0,1.0,84.0,0.15,6.67,12.6,560.0,0.03,31.11,6.0,0.0,0.0,10.0,6.0,13.0,8.0,5.0,0,0.875,0.0,7.0,0.7692307692307693,0.75
1322,7.0,2.0,1.0,2.0,39.86,0.27,3.75,10.63,149.49,0.01,8.3,5.0,0.0,0.0,6.0,4.0,7.0,5.0,3.0,1,0.7142857142857143,0.0,6.0,0.8571428571428571,0.8
7031,10.0,2.0,1.0,2.0,72.34,0.12,8.1,8.93,585.95,0.02,32.54,7.0,0.0,1.0,9.0,5.0,10.0,9.0,3.0,0,0.5,7.0,8.5,0.9,0.5555555555555556
7227,8.0,1.0,1.0,1.0,74.01,0.5,2.0,37.0,148.02,0.02,8.22,6.0,0.0,0.0,4.0,9.0,11.0,9.0,1.0,0,0.375,0.0,7.0,0.36363636363636365,1.0
987,17.0,3.0,1.0,2.0,232.79,0.06,15.44,15.08,3593.74,0.08,199.65,13.0,0.0,2.0,13.0,8.0,34.0,19.0,5.0,1,0.35294117647058826,6.5,15.0,0.38235294117647056,0.42105263157894735
4535,9.0,1.0,1.0,1.0,69.0,0.15,6.67,10.35,460.0,0.02,25.56,5.0,1.0,0.0,5.0,3.0,15.0,8.0,1.0,0,0.3333333333333333,5.0,7.0,0.3333333333333333,0.375
460,41.0,5.0,1.0,4.0,872.8,0.05,21.8,40.03,19030.75,0.29,1057.26,32.0,0.0,7.0,17.0,23.0,105.0,59.0,9.0,1,0.24390243902439024,4.571428571428571,36.5,0.1619047619047619,0.3898305084745763
4128,17.0,5.0,1.0,2.0,127.44,0.1,10.29,12.39,1310.79,0.04,72.82,13.0,0.0,2.0,12.0,7.0,18.0,12.0,9.0,0,0.47058823529411764,6.5,15.0,0.6666666666666666,0.5833333333333334
7183,34.0,4.0,3.0,2.0,329.42,0.05,20.43,16.12,6729.66,0.11,373.87,27.0,1.0,2.0,11.0,7.0,53.0,26.0,7.0,0,0.2647058823529412,9.0,30.5,0.20754716981132076,0.2692307692307692
1442,17.0,2.0,1.0,2.0,168.56,0.11,9.0,18.73,1517.0,0.06,84.28,11.0,0.0,4.0,12.0,8.0,27.0,12.0,3.0,1,0.29411764705882354,2.75,14.0,0.4444444444444444,0.6666666666666666
8617,20.0,1.0,1.0,1.0,383.78,0.09,10.69,35.89,4104.31,0.13,228.02,14.0,0.0,4.0,11.0,18.0,44.0,35.0,1.0,0,0.15,3.5,17.0,0.25,0.5142857142857142
3229,22.0,3.0,1.0,3.0,205.13,0.08,13.0,15.78,2666.74,0.07,148.15,13.0,1.0,6.0,13.0,9.0,28.0,18.0,5.0,0,0.3181818181818182,1.8571428571428572,17.5,0.4642857142857143,0.5
5986,14.0,2.0,1.0,2.0,162.52,0.22,4.62,35.21,750.07,0.05,41.67,11.0,0.0,0.0,8.0,13.0,22.0,15.0,3.0,0,0.35714285714285715,0.0,12.5,0.36363636363636365,0.8666666666666667
9240,48.0,9.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0,0.3958333333333333,0.0,24.0,0.0,0.0
5909,66.0,6.0,1.0,5.0,1018.62,0.03,29.2,34.88,29743.56,0.34,1652.42,50.0,4.0,8.0,24.0,30.0,104.0,73.0,10.0,0,0.18181818181818182,4.166666666666667,58.0,0.23076923076923078,0.410958904109589
2343,4.0,1.0,1.0,1.0,28.53,0.33,3.0,9.51,85.59,0.01,4.75,2.0,0.0,0.0,6.0,3.0,6.0,3.0,1.0,0,0.75,0.0,3.0,1.0,1.0
9687,23.0,3.0,1.0,3.0,600.75,0.04,22.67,26.5,13616.95,0.2,756.5,21.0,0.0,0.0,8.0,12.0,71.0,68.0,5.0,0,0.30434782608695654,0.0,22.0,0.11267605633802817,0.17647058823529413
4948,71.0,17.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0,0.323943661971831,0.0,35.5,0.0,0.0
7136,41.0,8.0,1.0,7.0,423.04,0.08,13.29,31.84,5620.38,0.14,312.24,26.0,6.0,6.0,12.0,14.0,59.0,31.0,15.0,0,0.3902439024390244,2.1666666666666665,33.5,0.2033898305084746,0.45161290322580644
1843,11.0,3.0,3.0,2.0,116.69,0.15,6.72,17.36,784.43,0.04,43.58,6.0,1.0,2.0,11.0,9.0,16.0,11.0,5.0,1,0.7272727272727273,2.0,8.5,0.6875,0.8181818181818182
7497,5.0,1.0,1.0,1.0,50.19,0.29,3.5,14.34,175.66,0.02,9.76,3.0,0.0,0.0,7.0,5.0,9.0,5.0,1.0,0,0.6,0.0,4.0,0.7777777777777778,1.0
4609,48.0,4.0,1.0,1.0,524.66,0.05,18.28,28.7,9591.48,0.17,532.86,31.0,1.0,11.0,13.0,16.0,63.0,45.0,7.0,0,0.125,2.5833333333333335,39.5,0.20634920634920634,0.35555555555555557
5144,34.0,6.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0,0.35294117647058826,0.0,17.0,0.0,0.0
7320,27.0,5.0,4.0,4.0,466.66,0.09,11.26,41.45,5254.23,0.16,291.9,22.0,0.0,3.0,16.0,27.0,48.0,38.0,9.0,0,0.48148148148148145,7.333333333333333,24.5,0.3333333333333333,0.7105263157894737
8644,27.0,6.0,1.0,3.0,396.14,0.03,30.0,13.2,11884.29,0.13,660.24,21.0,0.0,1.0,12.0,6.0,65.0,30.0,11.0,0,0.37037037037037035,21.0,24.0,0.18461538461538463,0.2
7029,22.0,5.0,1.0,3.0,341.84,0.07,15.0,22.79,5127.59,0.11,284.87,16.0,0.0,3.0,15.0,16.0,37.0,32.0,9.0,0,0.4090909090909091,5.333333333333333,19.0,0.40540540540540543,0.5
9190,67.0,18.0,12.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,0,0.5223880597014925,0.0,33.5,0.0,0.0
5390,47.0,12.0,1.0,11.0,684.99,0.06,16.9,40.54,11574.05,0.23,643.0,44.0,0.0,2.0,20.0,29.0,73.0,49.0,14.0,0,0.5106382978723404,22.0,45.5,0.273972602739726,0.5918367346938775
7069,24.0,1.0,1.0,1.0,324.33,0.08,12.83,25.27,4162.24,0.11,231.24,16.0,1.0,4.0,14.0,12.0,47.0,22.0,1.0,0,0.125,3.2,20.0,0.2978723404255319,0.5454545454545454
6137,89.0,9.0,1.0,4.0,1044.39,0.03,29.5,35.4,30809.45,0.35,1711.64,74.0,0.0,12.0,24.0,24.0,128.0,59.0,14.0,0,0.15730337078651685,6.166666666666667,81.5,0.1875,0.4067796610169492
1034,41.0,5.0,1.0,5.0,635.59,0.05,20.63,30.81,13113.3,0.21,728.52,32.0,0.0,7.0,14.0,19.0,70.0,56.0,9.0,1,0.2682926829268293,4.571428571428571,36.5,0.2,0.3392857142857143
911,112.0,12.0,9.0,7.0,2124.0,0.02,49.62,42.8,105396.32,0.71,5855.35,86.0,13.0,9.0,27.0,37.0,218.0,136.0,22.0,1,0.25,3.909090909090909,99.0,0.12385321100917432,0.27205882352941174
3119,4.0,1.0,1.0,1.0,8.0,0.67,1.5,5.33,12.0,0.0,0.67,2.0,0.0,0.0,3.0,1.0,3.0,1.0,1.0,0,0.75,0.0,3.0,1.0,1.0
2186,119.0,6.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0,0.09243697478991597,0.0,59.5,0.0,0.0
7758,28.0,4.0,4.0,3.0,468.33,0.08,12.67,36.97,5932.18,0.16,329.57,24.0,0.0,2.0,16.0,24.0,50.0,38.0,7.0,0,0.39285714285714285,12.0,26.0,0.32,0.631578947368421
7254,26.0,6.0,6.0,1.0,485.78,0.02,43.0,11.3,20888.63,0.16,1160.48,23.0,0.0,1.0,20.0,10.0,56.0,43.0,11.0,0,0.5,23.0,24.5,0.35714285714285715,0.23255813953488372
7785,57.0,16.0,16.0,15.0,1196.5,0.03,31.86,37.55,38122.89,0.4,2117.94,53.0,0.0,2.0,21.0,29.0,124.0,88.0,31.0,0,0.8245614035087719,26.5,55.0,0.1693548387096774,0.32954545454545453
4683,11.0,5.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0,1.0909090909090908,0.0,5.5,0.0,0.0
849,100.0,25.0,16.0,20.0,2732.34,0.03,28.68,95.28,78353.86,0.91,4352.99,84.0,4.0,12.0,20.0,68.0,228.0,195.0,49.0,1,0.61,5.25,92.0,0.08771929824561403,0.3487179487179487
8129,5.0,2.0,1.0,1.0,28.53,0.4,2.5,11.41,71.32,0.01,3.96,3.0,0.0,0.0,5.0,4.0,5.0,4.0,3.0,0,0.8,0.0,4.0,1.0,1.0
247,104.0,13.0,5.0,10.0,1725.75,0.02,58.15,29.68,100356.31,0.58,5575.35,77.0,7.0,9.0,25.0,23.0,202.0,107.0,25.0,1,0.2692307692307692,4.8125,90.5,0.12376237623762376,0.21495327102803738
10371,8.0,3.0,3.0,1.0,84.0,0.15,6.67,12.6,560.0,0.03,31.11,6.0,0.0,0.0,10.0,6.0,13.0,8.0,5.0,0,0.875,0.0,7.0,0.7692307692307693,0.75
8441,20.0,1.0,1.0,1.0,263.54,0.13,7.88,33.47,2075.37,0.09,115.3,12.0,0.0,5.0,9.0,12.0,39.0,21.0,1.0,0,0.15,2.4,16.0,0.23076923076923078,0.5714285714285714
435,367.0,48.0,7.0,44.0,7412.71,0.02,61.38,120.77,454986.89,2.47,25277.05,333.0,2.0,30.0,24.0,87.0,646.0,445.0,95.0,1,0.26975476839237056,10.40625,350.0,0.03715170278637771,0.19550561797752808
2485,58.0,10.0,10.0,5.0,968.52,0.03,30.0,32.28,29055.71,0.32,1614.21,47.0,5.0,2.0,15.0,18.0,120.0,72.0,19.0,0,0.43103448275862066,6.714285714285714,52.5,0.125,0.25
3658,15.0,1.0,1.0,1.0,237.88,0.09,10.55,22.56,2508.59,0.08,139.37,5.0,0.0,4.0,8.0,11.0,27.0,29.0,1.0,0,0.2,1.25,10.0,0.2962962962962963,0.3793103448275862
3409,25.0,5.0,5.0,3.0,325.48,0.07,13.53,24.05,4404.89,0.11,244.72,17.0,2.0,4.0,14.0,15.0,38.0,29.0,9.0,0,0.52,2.8333333333333335,21.0,0.3684210526315789,0.5172413793103449
8452,16.0,3.0,1.0,2.0,104.25,0.14,7.0,14.89,729.74,0.03,40.54,11.0,0.0,3.0,12.0,6.0,18.0,7.0,5.0,0,0.375,3.6666666666666665,13.5,0.6666666666666666,0.8571428571428571
5563,4.0,1.0,1.0,1.0,8.0,0.67,1.5,5.33,12.0,0.0,0.67,2.0,0.0,0.0,3.0,1.0,3.0,1.0,1.0,0,0.75,0.0,3.0,1.0,1.0
10696,22.0,3.0,1.0,2.0,222.97,0.1,10.0,22.3,2229.72,0.07,123.87,17.0,0.0,3.0,11.0,11.0,30.0,20.0,5.0,0,0.2727272727272727,5.666666666666667,19.5,0.36666666666666664,0.55
5225,13.0,2.0,1.0,2.0,126.71,0.14,7.31,17.33,926.58,0.04,51.48,9.0,0.0,2.0,9.0,8.0,18.0,13.0,3.0,0,0.38461538461538464,4.5,11.0,0.5,0.6153846153846154
2948,30.0,5.0,5.0,1.0,343.02,0.05,20.77,16.52,7124.24,0.11,395.79,27.0,0.0,1.0,20.0,13.0,43.0,27.0,9.0,0,0.36666666666666664,27.0,28.5,0.46511627906976744,0.48148148148148145
4693,42.0,2.0,1.0,2.0,435.97,0.14,6.96,62.67,3032.83,0.15,168.49,26.0,8.0,6.0,8.0,23.0,48.0,40.0,3.0,0,0.11904761904761904,1.8571428571428572,34.0,0.16666666666666666,0.575
5254,4.0,1.0,1.0,1.0,13.93,0.5,2.0,6.97,27.86,0.0,1.55,2.0,0.0,0.0,4.0,1.0,5.0,1.0,1.0,0,0.75,0.0,3.0,0.8,1.0
6849,54.0,10.0,1.0,7.0,1207.88,0.02,52.66,22.94,63604.37,0.4,3533.58,40.0,2.0,4.0,23.0,19.0,137.0,87.0,19.0,0,0.3333333333333333,6.666666666666667,47.0,0.1678832116788321,0.21839080459770116
10070,17.0,3.0,1.0,1.0,171.33,0.04,27.5,6.23,4711.6,0.06,261.76,14.0,0.0,1.0,11.0,3.0,30.0,15.0,5.0,0,0.29411764705882354,14.0,15.5,0.36666666666666664,0.2
2996,13.0,3.0,1.0,3.0,118.54,0.14,7.31,16.21,866.8,0.04,48.16,10.0,0.0,1.0,9.0,8.0,16.0,13.0,5.0,0,0.5384615384615384,10.0,11.5,0.5625,0.6153846153846154
4288,8.0,1.0,1.0,1.0,47.55,0.27,3.75,12.68,178.31,0.02,9.91,5.0,0.0,1.0,5.0,4.0,9.0,6.0,1.0,0,0.375,5.0,6.5,0.5555555555555556,0.6666666666666666
10163,110.0,19.0,8.0,6.0,1665.86,0.02,61.29,27.18,102093.62,0.56,5671.87,67.0,28.0,12.0,22.0,21.0,190.0,117.0,37.0,0,0.3,1.675,88.5,0.11578947368421053,0.1794871794871795
3800,30.0,1.0,1.0,1.0,2107.48,0.05,21.0,100.36,44257.15,0.7,2458.73,23.0,0.0,5.0,10.0,30.0,270.0,126.0,1.0,0,0.1,4.6,26.5,0.037037037037037035,0.23809523809523808
861,4.0,1.0,1.0,1.0,27.0,0.4,2.5,10.8,67.5,0.01,3.75,2.0,0.0,0.0,5.0,3.0,6.0,3.0,1.0,1,0.75,0.0,3.0,0.8333333333333334,1.0
10764,5.0,2.0,1.0,1.0,55.51,0.29,3.5,15.86,194.27,0.02,10.79,3.0,0.0,0.0,7.0,6.0,9.0,6.0,3.0,0,0.8,0.0,4.0,0.7777777777777778,1.0
9744,11.0,1.0,1.0,1.0,53.77,0.25,4.0,13.44,215.1,0.02,11.95,6.0,0.0,2.0,8.0,4.0,11.0,4.0,1.0,0,0.2727272727272727,3.0,8.5,0.7272727272727273,1.0
10244,121.0,23.0,7.0,1.0,2257.54,0.01,98.04,23.03,221333.23,0.75,12296.29,71.0,32.0,14.0,26.0,24.0,219.0,181.0,45.0,0,0.256198347107438,1.5434782608695652,96.0,0.1187214611872146,0.13259668508287292
8453,40.0,4.0,1.0,4.0,740.94,0.06,16.32,45.36,12102.03,0.25,672.33,32.0,0.0,6.0,12.0,18.0,102.0,49.0,7.0,0,0.225,5.333333333333333,36.0,0.11764705882352941,0.3673469387755102
117,28.0,5.0,3.0,4.0,528.45,0.05,20.0,26.42,10568.94,0.18,587.16,21.0,0.0,5.0,21.0,21.0,58.0,40.0,9.0,1,0.42857142857142855,4.2,24.5,0.3620689655172414,0.525
9852,12.0,3.0,1.0,3.0,122.11,0.16,6.43,19.0,785.02,0.04,43.61,10.0,0.0,0.0,6.0,7.0,18.0,15.0,5.0,0,0.5833333333333334,0.0,11.0,0.3333333333333333,0.4666666666666667
